iter	Passed	Remaining
749	1393	464
750	1395	462
751	1396	460
752	1398	458
753	1400	456
754	1402	454
755	1403	453
756	1405	451
757	1406	449
758	1408	447
759	1409	445
760	1411	443
761	1412	441
762	1415	439
763	1416	437
764	1418	435
765	1419	433
766	1421	431
767	1423	429
768	1424	427
769	1426	425
770	1427	424
771	1430	422
772	1432	420
773	1434	418
774	1435	416
775	1437	414
776	1439	413
777	1440	411
778	1442	409
779	1445	407
780	1447	405
781	1449	403
782	1451	402
783	1453	400
784	1454	398
785	1456	396
786	1458	394
787	1460	392
788	1461	390
789	1463	388
790	1464	387
791	1466	385
792	1467	383
793	1469	381
794	1470	379
795	1472	377
796	1474	375
797	1476	373
798	1478	371
799	1479	369
800	1481	367
801	1482	365
802	1483	364
803	1485	362
804	1487	360
805	1489	358
806	1490	356
807	1492	354
808	1493	352
809	1495	350
810	1496	348
811	1498	346
812	1500	345
813	1501	343
814	1504	341
815	1505	339
816	1507	337
817	1508	335
818	1510	333
819	1511	331
820	1513	329
821	1514	328
822	1516	326
823	1518	324
824	1520	322
825	1521	320
826	1523	318
827	1524	316
828	1526	314
829	1527	312
830	1529	311
831	1530	309
832	1532	307
833	1534	305
834	1536	303
835	1537	301
836	1539	299
837	1540	297
838	1541	295
839	1543	293
840	1544	292
841	1546	290
842	1548	288
843	1550	286
844	1551	284
845	1552	282
846	1554	280
847	1555	278
848	1557	276
849	1558	275
850	1560	273
851	1562	271
852	1564	269
853	1565	267
854	1566	265
855	1568	263
856	1569	261
857	1571	260
858	1572	258
859	1573	256
860	1575	254
861	1577	252
862	1579	250
863	1580	248
864	1581	246
865	1583	244
866	1584	243
867	1586	241
868	1587	239
869	1589	237
870	1591	235
871	1592	233
872	1594	231
873	1595	230
874	1597	228
875	1598	226
876	1600	224
877	1601	222
878	1603	220
879	1605	218
880	1606	217
881	1608	215
882	1610	213
883	1611	211
884	1613	209
885	1614	207
886	1616	205
887	1617	204
888	1619	202
889	1621	200
890	1622	198
891	1624	196
892	1625	194
893	1627	192
894	1628	191
895	1630	189
896	1631	187
897	1633	185
898	1634	183
899	1636	181
900	1638	179
901	1639	178
902	1641	176
903	1642	174
904	1644	172
905	1645	170
906	1647	168
907	1648	167
908	1650	165
909	1652	163
910	1653	161
911	1655	159
912	1656	157
913	1658	156
914	1659	154
915	1661	152
916	1662	150
917	1664	148
918	1666	146
919	1668	145
920	1669	143
921	1670	141
922	1672	139
923	1673	137
924	1675	135
925	1676	134
926	1678	132
927	1680	130
928	1681	128
929	1683	126
930	1684	124
931	1686	123
932	1687	121
933	1689	119
934	1690	117
935	1692	115
936	1694	113
937	1696	112
938	1697	110
939	1699	108
940	1700	106
941	1702	104
942	1704	103
943	1706	101
944	1707	99
945	1709	97
946	1711	95
947	1713	93
948	1714	92
949	1716	90
950	1718	88
951	1719	86
952	1721	84
953	1723	83
954	1725	81
955	1727	79
956	1729	77
957	1730	75
958	1732	74
959	1734	72
960	1736	70
961	1738	68
962	1741	66
963	1743	65
964	1746	63
965	1748	61
966	1750	59
967	1752	57
968	1755	56
969	1757	54
970	1759	52
971	1761	50
972	1762	48
973	1764	47
974	1766	45
975	1767	43
976	1771	41
977	1773	39
978	1774	38
979	1776	36
980	1778	34
981	1780	32
982	1781	30
983	1784	29
984	1786	27
985	1788	25
986	1790	23
987	1792	21
988	1793	19
989	1795	18
990	1797	16
991	1801	14
992	1803	12
993	1805	10
994	1807	9
995	1809	7
996	1811	5
997	1812	3
998	1817	1
999	1819	0
